,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti Alto,9,120000,0,0,0,19.7,796.0,46.3,5,120000
1,Hyundai Grand,5,20000,0,0,0,18.9,1197.0,82.0,5,550000
2,Hyundai i20,11,60000,0,0,0,17.0,1197.0,80.0,5,215000
3,Maruti Alto,9,37000,0,0,0,20.92,998.0,67.1,5,226000
4,Ford Ecosport,6,30000,1,1,0,22.77,1498.0,98.59,5,570000
5,Maruti Wagon R,8,35000,0,0,0,18.9,998.0,67.1,5,350000
6,Hyundai i10,8,40000,1,0,0,20.36,1197.0,78.9,5,315000
7,Maruti Wagon R,3,17512,1,0,0,20.51,998.0,67.04,5,410000
8,Hyundai Venue,2,20000,0,0,1,18.15,998.0,118.35,5,1050000
12,Maruti Swift,4,28321,1,0,0,16.6,1197.0,85.0,5,511000
14,Hyundai Verna,8,65278,1,1,0,22.32,1582.0,126.32,5,425000
15,Renault Duster,5,50000,0,1,0,19.64,1461.0,108.45,5,750000
16,Mini Cooper,4,6000,1,0,1,14.41,1998.0,182.25,5,1485000
17,Maruti Ciaz,5,76000,1,1,0,28.09,1248.0,88.5,5,650000
18,Maruti Swift,5,20000,0,1,0,25.2,1248.0,74.0,5,627000
19,Mercedes-Benz C-Class,7,65000,1,1,1,19.27,2143.0,170.0,5,1425000
20,Maruti Swift,7,62200,1,1,0,28.4,1248.0,74.0,5,425000
21,Toyota Innova,8,110000,0,1,0,12.99,2159.5,100.6,8,605000
22,Maruti Baleno,6,20000,0,0,0,21.4,1197.0,83.1,5,600000
23,Maruti Swift Dzire,5,40000,0,0,0,20.85,1197.0,83.14,5,575000
25,Volkswagen Vento,8,47000,1,0,0,16.09,1598.0,103.2,5,425000
26,Maruti Alto,8,25000,1,0,0,20.92,998.0,67.1,5,230000
27,Hyundai Creta,2,15000,0,1,0,19.67,1582.0,126.2,5,1225000
